design,arm,pair_complete,status,coverage_score_percent,coverage_metrics,tokens,token_scope,token_accounting_complete,accepted_rounds,elapsed_seconds,started_utc,finished_utc,stop_reason,error,reported_models,source
alu,haven,True,completed,98.12842981366114,"line,cond,toggle,branch",193949,listed_arm_attempt,True,3,968.735390949063,2026-09-08T10:33:00.927+00:00,2026-09-08T10:49:09.662+00:00,round_budget,,deepseek-v4-flash-vision-exp,out/experiments/haven4-paired-20260908-v2/alu/paired/summary.json
alu,rvprobe,True,completed,91.93649349327248,"line,cond,toggle,branch",246289,listed_arm_attempt,True,2,1830.282496375963,2026-09-08T10:49:09.665+00:00,2026-09-08T11:19:39.947+00:00,coverage_stalled,,deepseek-v4-flash-vision-exp,out/experiments/haven4-paired-20260908-v2/alu/paired/summary.json
aes,haven,True,completed,95.83330431502279,"line,cond,toggle,branch,fsm",68870,listed_arm_attempt,True,1,251.98131217621267,2026-09-08T11:19:51.660+00:00,2026-09-08T11:24:03.641+00:00,coverage_stalled,,deepseek-v4-flash-vision-exp,out/experiments/haven4-paired-20260908-v2/aes/paired/summary.json
aes,rvprobe,True,completed,95.83787469893502,"line,cond,toggle,branch,fsm",91223,listed_arm_attempt,True,1,442.5024597560987,2026-09-08T11:24:03.643+00:00,2026-09-08T11:31:26.145+00:00,coverage_stalled,,deepseek-v4-flash-vision-exp,out/experiments/haven4-paired-20260908-v2/aes/paired/summary.json
sha3,haven,True,completed,84.39370283632579,"line,cond,toggle,branch",56205,listed_arm_attempt,True,1,303.1854763375595,2026-09-08T13:35:22.845+00:00,2026-09-08T13:40:26.030+00:00,coverage_stalled,,deepseek-v4-flash-vision-exp,out/experiments/sha3-shared-repaired-20260908/paired/summary.json
sha3,rvprobe,True,completed,100.0,"line,cond,toggle,branch",130394,listed_arm_attempt,True,1,734.3081673178822,2026-09-08T13:40:26.031+00:00,2026-09-08T13:52:40.339+00:00,coverage_target,,deepseek-v4-flash-vision-exp,out/experiments/sha3-shared-repaired-20260908/paired/summary.json
axil_ram,haven,True,completed,85.80130404941661,"line,cond,toggle,branch",0,continuation_only,True,1,,,,coverage_stalled,,,out/experiments/axil-recovered-closed-loop-20260909/summary.json
axil_ram,rvprobe,True,completed,92.94440631434455,"line,cond,toggle,branch",76223,continuation_only,True,2,,,,coverage_stalled,,deepseek-v4-flash-vision-exp,out/experiments/axil-recovered-closed-loop-20260909/summary.json
ue_timer,haven,True,completed,94.324433548364,"line,cond,toggle,branch",132385,listed_arm_attempt,True,3,318.1893490497023,2026-09-10T14:33:04.206+00:00,2026-09-10T14:38:22.396+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-c/ue_timer/flow/paired/summary.json
ue_timer,rvprobe,True,completed,99.62719298245614,"line,cond,toggle,branch",189471,listed_arm_attempt,True,3,1277.8653438044712,2026-09-10T14:38:22.397+00:00,2026-09-10T14:59:40.262+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-c/ue_timer/flow/paired/summary.json
uart,haven,True,completed,95.65526445099616,"line,cond,toggle,branch",183475,listed_arm_attempt,True,3,486.58221054822206,2026-09-10T17:19:04.142+00:00,2026-09-10T17:27:10.724+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-h/uart/flow/paired/summary.json
uart,rvprobe,True,completed,94.91278030912177,"line,cond,toggle,branch",155388,listed_arm_attempt,True,2,1311.9588671782985,2026-09-10T17:27:10.725+00:00,2026-09-10T17:49:02.684+00:00,coverage_stalled,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-h/uart/flow/paired/summary.json
can,haven,False,failed,96.5919384057971,"line,cond,toggle,branch",323573,listed_arm_attempt,True,1,436.0260873641819,2026-09-12T07:51:24.464+00:00,2026-09-12T07:58:40.490+00:00,,"Command '['/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.venv/bin/python', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/coverage_flow.py', 'request', '--directory', '/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-l/can/flow/paired/haven/round-2/attempt-1', '--options', '/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-l/can/flow/paired/haven/round-2/request-options.json', '--env-file', '/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.env']' returned non-zero exit status 1.",deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-l/can/flow/paired/summary.json
can,rvprobe,False,completed,97.87892512077295,"line,cond,toggle,branch",2832065,listed_arm_attempt,True,2,2712.386463473551,2026-09-12T07:58:40.491+00:00,2026-09-12T08:43:52.878+00:00,coverage_stalled,,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-l/can/flow/paired/summary.json
ethmac,haven,False,completed,91.19958481613286,"line,cond,toggle,branch",986057,listed_arm_attempt,True,3,622.5417939564213,2026-09-12T11:44:22.216+00:00,2026-09-12T11:54:44.758+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-m/ethmac/flow/paired/summary.json
ethmac,rvprobe,False,failed,91.24676480103527,"line,cond,toggle,branch",3974012,listed_arm_attempt,True,1,4827.576070012525,2026-09-12T11:54:44.759+00:00,2026-09-12T13:15:12.335+00:00,native_witness_search_exhausted,native witness search exhausted: 3/4 validated from 32 distinct candidates; frozen LTL remains unchanged,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-m/ethmac/flow/paired/summary.json
i2c,haven,True,completed,89.0416328935504,"line,cond,toggle,branch",114256,listed_arm_attempt,True,2,253.32215367723256,2026-09-11T12:53:51.390+00:00,2026-09-11T12:58:04.713+00:00,coverage_stalled,,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-c/i2c/flow/paired/summary.json
i2c,rvprobe,True,completed,90.43052178243929,"line,cond,toggle,branch",981093,listed_arm_attempt,True,2,950.7098906384781,2026-09-11T12:58:04.713+00:00,2026-09-11T13:13:55.423+00:00,coverage_stalled,,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-c/i2c/flow/paired/summary.json
gpio,haven,True,completed,89.9697366502007,"line,cond,toggle,branch",165782,listed_arm_attempt,True,2,327.5920181274414,2026-09-10T17:50:33.520+00:00,2026-09-10T17:56:01.112+00:00,coverage_stalled,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-h/gpio/flow/paired/summary.json
gpio,rvprobe,True,completed,98.1838819523269,"line,cond,toggle,branch",290928,listed_arm_attempt,True,3,1211.3634791709483,2026-09-10T17:56:01.113+00:00,2026-09-10T18:16:12.477+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-h/gpio/flow/paired/summary.json
simple_spi,haven,True,completed,91.59300667126755,"line,cond,toggle,branch,fsm",170781,listed_arm_attempt,True,3,449.12487629801035,2026-09-11T16:05:57.869+00:00,2026-09-11T16:13:26.994+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-e/simple_spi/flow/paired/summary.json
simple_spi,rvprobe,True,completed,91.98454106280192,"line,cond,toggle,branch,fsm",601460,listed_arm_attempt,True,3,1506.7487574284896,2026-09-11T16:13:26.995+00:00,2026-09-11T16:38:33.744+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-e/simple_spi/flow/paired/summary.json
spi,haven,True,completed,96.59743787886593,"line,cond,toggle,branch,fsm",213415,listed_arm_attempt,True,3,593.9538841918111,2026-09-11T02:02:35.158+00:00,2026-09-11T02:12:29.111+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-j/spi/flow/paired/summary.json
spi,rvprobe,True,completed,96.19594731509625,"line,cond,toggle,branch,fsm",842934,listed_arm_attempt,True,3,1676.7507145982236,2026-09-11T02:12:29.113+00:00,2026-09-11T02:40:25.864+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-j/spi/flow/paired/summary.json
ue_gpio,haven,True,completed,94.51586757990867,"line,cond,toggle,branch",206429,listed_arm_attempt,True,3,431.9649370322004,2026-09-10T15:19:11.715+00:00,2026-09-10T15:26:23.680+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-a/ue_gpio/flow/paired/summary.json
ue_gpio,rvprobe,True,completed,95.28181818181818,"line,cond,toggle,branch",186013,listed_arm_attempt,True,3,868.9981467640027,2026-09-10T15:26:23.682+00:00,2026-09-10T15:40:52.680+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-a/ue_gpio/flow/paired/summary.json
ue_spi,haven,True,completed,91.11105872121861,"line,cond,toggle,branch",179481,listed_arm_attempt,True,3,340.1943108383566,2026-09-10T15:41:10.332+00:00,2026-09-10T15:46:50.526+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-a/ue_spi/flow/paired/summary.json
ue_spi,rvprobe,True,completed,90.46329764988704,"line,cond,toggle,branch",284444,listed_arm_attempt,True,3,1238.039221148938,2026-09-10T15:46:50.528+00:00,2026-09-10T16:07:28.567+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-a/ue_spi/flow/paired/summary.json
ue_uart,haven,True,completed,85.62510861509122,"line,cond,toggle,branch",133285,listed_arm_attempt,True,3,276.7045018170029,2026-09-10T16:07:45.579+00:00,2026-09-10T16:12:22.284+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-a/ue_uart/flow/paired/summary.json
ue_uart,rvprobe,True,completed,88.96380734692958,"line,cond,toggle,branch",369031,listed_arm_attempt,True,3,1787.7700564414263,2026-09-10T16:12:22.285+00:00,2026-09-10T16:42:10.055+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-fixed16-20260910-30xOp6/batch-a/ue_uart/flow/paired/summary.json
sdram,haven,False,failed,92.95977011494251,"cond,toggle,branch",774925,listed_arm_attempt,True,2,953.8450676370412,2026-09-12T07:48:13.121+00:00,2026-09-12T08:04:06.966+00:00,,2 candidate sequences failed: sdrc_resolved_gap_cti_raw_pin_sweep_reset_safe_seq: shared simulation failed or timed out: UVM_ERROR sequence_1.sv(37) @ 63375000: uvm_test_top.m_env.m_agent.m_sequencer@@seq_1 [cti_raw_ck_000] Poll timeout; UVM_ERROR sequence_1.sv(60) @ 125625000: uvm_test_top.m_env.m_agent.m_sequencer@@seq_1 [cti_raw_ck_111] Poll timeout; UVM_ERROR sequence_1.sv(83) @ 188125000: uvm_test_top.m_env.m_agent.m_sequencer@@seq_1 [cti_raw_ck_001] Poll timeout; sdrc_resolved_gap_last_rd_bank_interleave_read_seq: shared simulation failed or timed out: UVM_ERROR sequence_1.sv(110) @ 63825000: uvm_test_top.m_env.m_agent.m_sequencer@@seq_1 [rd_seed_b1] Poll timeout; UVM_ERROR sequence_1.sv(142) @ 126295000: uvm_test_top.m_env.m_agent.m_sequencer@@seq_1 [rd_seed_b2] Poll timeout; UVM_ERROR sequence_1.sv(174) @ 189025000: uvm_test_top.m_env.m_agent.m_sequencer@@seq_1 [rd_seed_b3] Poll timeout,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-k/sdram/flow/paired/summary.json
sdram,rvprobe,False,completed,89.70306513409962,"cond,toggle,branch",4256257,listed_arm_attempt,True,3,7406.505804206245,2026-09-12T08:04:06.967+00:00,2026-09-12T10:07:33.473+00:00,round_budget,,deepseek-flash,/dev/shm/rvprobe-independent-paired-20260911-YuflGB/batch-k/sdram/flow/paired/summary.json
