design,arm,status,score,tokens,rounds,requests,seconds,started_utc,finished_utc,source,source_sha256,accounting_complete,error
"alu","haven","completed","97.86648472365445","160029","3","3","446.3072573589161","2026-09-12T20:26:09.754+00:00","2026-09-12T20:33:36.061+00:00","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/summary.json","ef69eb960a113a212e3a63aa832a6a9aedf3f32cc7279cb61f5d189ccea8a72c","true",""
"alu","rvprobe","completed","97.06907857089911","175194","3","6","881.8077624300495","2026-09-15T09:34:56.300+00:00","2026-09-15T09:49:38.108+00:00","/var/storage/workspaces/clo91eaf/rvprobe-retry4-20260915-v1/alu/flow/paired/summary.json","81422c03819fdefbd6f7c60ee1fcab4cbcc1b4e1bb2cc72cfb30ad1b3964527e","true",""
"aes","haven","completed","95.83787469893502","133805","2","2","254.43453611806035","2026-09-12T20:25:17.097+00:00","2026-09-12T20:29:31.532+00:00","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/aes/flow/paired/summary.json","a2cf328faced5329a912a8c10e6bc881daaeff8be798282b7c407ffb12387736","true",""
"aes","rvprobe","completed","95.83330431502279","201294","2","8","575.4947310741991","2026-09-14T17:57:04.536+00:00","2026-09-14T18:06:40.031+00:00","/var/storage/workspaces/clo91eaf/rvprobe-full16-stable-20260914-v1/aes/flow/paired/summary.json","7f222ad9e5ce49a77df1be5a40941ae333b76129a6f23a932696d744fe7af94f","true",""
"sha3","haven","completed","99.99024199843872","54712","2","2","156.97656328137964","2026-09-12T20:25:15.266+00:00","2026-09-12T20:27:52.243+00:00","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/sha3/flow/paired/summary.json","597b49f6192f9a6da2fecead9af741e42423f6eeafb980bb88bac6e99e38d805","true",""
"sha3","rvprobe","completed","99.99349466562582","128181","2","7","320.9576054662466","2026-09-14T17:57:03.026+00:00","2026-09-14T18:02:23.984+00:00","/var/storage/workspaces/clo91eaf/rvprobe-full16-stable-20260914-v1/sha3/flow/paired/summary.json","88c9f9ee85439722f2911bd5a08e99a72fcd88b4db529fe8d4d3c5a949f1bbb2","true",""
"axil_ram","haven","completed","85.80130404941661","46881","1","1","236.06102497689426","2026-09-08T15:43:43.614+00:00","2026-09-08T15:47:39.675+00:00","/root/yjh-workspace/rvprobe-workspace/zaozi/out/experiments/axil-shared-handshake-retry-20260908/paired/summary.json","c0f7c917bb00441dd023ac822fe175af3b8719c343751cc65cc46a9f50a90a21","true",""
"axil_ram","rvprobe","completed","92.94440631434455","75219","2","4","500.1428438797593","2026-09-14T18:03:52.941+00:00","2026-09-14T18:12:13.084+00:00","/var/storage/workspaces/clo91eaf/rvprobe-full16-stable-20260914-v1/axil_ram/flow/paired/summary.json","c914cf900164fac6d786abe795b23d05b2d466d8481745564a37ba24ce20ecb4","true",""
"ue_timer","haven","completed","94.324433548364","132385","3","3","318.1893490497023","2026-09-10T14:33:04.206+00:00","2026-09-10T14:38:22.396+00:00","/var/storage/workspaces/clo91eaf/rvprobe-fixed16-20260910-30xOp6/batch-c/ue_timer/flow/paired/summary.json","742a925c7b71e94488af570bdcdf8d1ee9d90bf42a4d2af275e59006e321677c","true",""
"ue_timer","rvprobe","completed","99.83552631578948","155719","3","6","752.36630026903","2026-09-14T18:07:30.587+00:00","2026-09-14T18:20:02.953+00:00","/var/storage/workspaces/clo91eaf/rvprobe-full16-stable-20260914-v1/ue_timer/flow/paired/summary.json","0ec73af10b35b91b82cb9eff16a52e042c0fdda63843877998b0bcde8e055e8b","true",""
