section,design,arm,batch,status,score,baseline_score,rounds,rounds_with_new_sequences,new_sequences,requests,tokens,unknown_requests,accounting_complete,seconds,percent,modules,bins,usage,error,stop_reason,framework_fingerprint,source,source_sha256
"historical_paired","alu","haven","","completed","97.86648472365445","91.91088983785829","3","3","12","3","160029","0","true","446.3072573589161","{""line"":98.88268156424581,""cond"":98.11320754716981,""toggle"":97.54697286012527,""branch"":96.92307692307692}","[""alu_top""]","{""line"":[179,177],""cond"":[212,208],""toggle"":[1916,1869],""branch"":[65,63]}","{""prompt_tokens"":64567,""completion_tokens"":95462,""total_tokens"":160029}","","round_budget","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/summary.json","ef69eb960a113a212e3a63aa832a6a9aedf3f32cc7279cb61f5d189ccea8a72c"
"historical_paired","alu","rvprobe","","failed","95.73673045763823","91.91088983785829","1","1","16","11","391526","0","true","628.8269211277366","{""line"":97.76536312849161,""cond"":93.86792452830188,""toggle"":95.92901878914405,""branch"":95.38461538461539}","[""alu_top""]","{""line"":[179,175],""cond"":[212,199],""toggle"":[1916,1838],""branch"":[65,62]}","{""prompt_tokens"":284689,""completion_tokens"":106837,""total_tokens"":391526}","Command '['/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.venv/bin/python', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/sequence_experiment.py', '--skill-snapshot', '/dev/shm/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/rvprobe/frozen-skill.json', '--history-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/rvprobe/round-2/accepted-history.json', '--design', '/dev/shm/rvprobe-paired16-parallel-20260912-v2/alu/flow/manifest/design.json', '--replay-config', '/dev/shm/rvprobe-paired16-parallel-20260912-v2/alu/flow/manifest/replay.json', '--modinfo', '/dev/shm/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/rvprobe/round-1/simulation/alu_top_urgReport/modinfo.txt', '--feedback-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/rvprobe/round-2/feedback.json', '--out', '/dev/shm/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/rvprobe/round-2/generation', '--model', 'deepseek-v4-flash-vision-exp', '--temperature', '0.3', '--attempts', '3', '--timeout', '600', '--request-retries', '3', '--jg-time-limit', '120s', '--eda-shell', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/eda-shell', '--sequences-per-intent', '4', '--env-file', '/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.env']' returned non-zero exit status 1.","","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/alu/flow/paired/summary.json","ef69eb960a113a212e3a63aa832a6a9aedf3f32cc7279cb61f5d189ccea8a72c"
"historical_paired","aes","haven","","completed","95.83787469893502","95.04262789820376","2","2","7","2","133805","0","true","254.43453611806035","{""line"":98.80952380952381,""cond"":100,""toggle"":99.26873857404021,""branch"":97.77777777777777,""fsm"":83.33333333333333}","[""aes_core""]","{""line"":[84,83],""cond"":[55,55],""toggle"":[4376,4344],""branch"":[45,44],""fsm"":[6,5]}","{""prompt_tokens"":82616,""completion_tokens"":51189,""total_tokens"":133805}","","coverage_stalled","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/aes/flow/paired/summary.json","a2cf328faced5329a912a8c10e6bc881daaeff8be798282b7c407ffb12387736"
"historical_paired","aes","rvprobe","","completed","95.82416354719828","95.04262789820376","2","2","24","10","283377","0","true","941.7056755879894","{""line"":98.80952380952381,""cond"":100,""toggle"":99.20018281535648,""branch"":97.77777777777777,""fsm"":83.33333333333333}","[""aes_core""]","{""line"":[84,83],""cond"":[55,55],""toggle"":[4376,4341],""branch"":[45,44],""fsm"":[6,5]}","{""prompt_tokens"":206383,""completion_tokens"":76994,""total_tokens"":283377}","","coverage_stalled","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/aes/flow/paired/summary.json","a2cf328faced5329a912a8c10e6bc881daaeff8be798282b7c407ffb12387736"
"historical_paired","sha3","haven","","completed","99.99024199843872","72.34922409102737","2","2","8","2","54712","0","true","156.97656328137964","{""line"":100,""cond"":100,""toggle"":99.96096799375488,""branch"":100}","[""keccak""]","{""line"":[11,11],""cond"":[3,3],""toggle"":[7686,7683],""branch"":[8,8]}","{""prompt_tokens"":33419,""completion_tokens"":21293,""total_tokens"":54712}","","coverage_stalled","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/sha3/flow/paired/summary.json","597b49f6192f9a6da2fecead9af741e42423f6eeafb980bb88bac6e99e38d805"
"historical_paired","sha3","rvprobe","","completed","99.99349466562582","72.34922409102737","2","2","20","14","315879","0","true","524.9236821802333","{""line"":100,""cond"":100,""toggle"":99.97397866250326,""branch"":100}","[""keccak""]","{""line"":[11,11],""cond"":[3,3],""toggle"":[7686,7684],""branch"":[8,8]}","{""prompt_tokens"":266072,""completion_tokens"":49807,""total_tokens"":315879}","","coverage_stalled","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/sha3/flow/paired/summary.json","597b49f6192f9a6da2fecead9af741e42423f6eeafb980bb88bac6e99e38d805"
"historical_paired","axil_ram","haven","","failed","85.80130404941661","85.80130404941661","0","0","0","3","74242","0","true","114.02100735902786","{""line"":100,""cond"":61.29032258064516,""toggle"":81.91489361702128,""branch"":100}","[""axil_ram""]","{""line"":[40,40],""cond"":[31,19],""toggle"":[470,385],""branch"":[12,12]}","{""prompt_tokens"":45609,""completion_tokens"":28633,""total_tokens"":74242}","HAVEN DSL generation exhausted schema repair budget","","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/axil_ram/flow/paired/summary.json","57d28a235f560c7be2dd4f0e94f32ed310f1f95566305e5bcf80e44436b60ee0"
"historical_paired","axil_ram","rvprobe","","completed","92.94440631434455","85.80130404941661","2","2","32","18","568791","0","true","1523.2841906910762","{""line"":100,""cond"":87.09677419354838,""toggle"":84.68085106382979,""branch"":100}","[""axil_ram""]","{""line"":[40,40],""cond"":[31,27],""toggle"":[470,398],""branch"":[12,12]}","{""prompt_tokens"":436515,""completion_tokens"":132276,""total_tokens"":568791}","","coverage_stalled","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v2/axil_ram/flow/paired/summary.json","57d28a235f560c7be2dd4f0e94f32ed310f1f95566305e5bcf80e44436b60ee0"
"historical_paired","ue_timer","haven","","failed","82.16630753653594","82.16630753653594","0","0","0","3","141969","0","true","252.5574508626014","{""line"":93.22033898305085,""cond"":75.83333333333333,""toggle"":71.95723684210526,""branch"":87.65432098765432}","[""timer""]","{""line"":[118,110],""cond"":[120,91],""toggle"":[1216,875],""branch"":[81,71]}","{""prompt_tokens"":75396,""completion_tokens"":66573,""total_tokens"":141969}","HAVEN DSL generation exhausted schema repair budget","","665721f0a795e8670bd7cd90d30d6fcf6cf88d140c7feb3e82cd0863c2ec5294","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/ue_timer/flow/paired/summary.json","a40e2c81c994d8c933f427d8189587ea63d9837ba2bb470daf72e23a35e4988d"
"historical_paired","ue_timer","rvprobe","","completed","99.83552631578948","82.16630753653594","3","3","48","20","700021","0","true","1526.3706906381994","{""line"":100,""cond"":100,""toggle"":99.34210526315789,""branch"":100}","[""timer""]","{""line"":[118,118],""cond"":[120,120],""toggle"":[1216,1208],""branch"":[81,81]}","{""prompt_tokens"":594385,""completion_tokens"":105636,""total_tokens"":700021}","","round_budget","665721f0a795e8670bd7cd90d30d6fcf6cf88d140c7feb3e82cd0863c2ec5294","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/ue_timer/flow/paired/summary.json","a40e2c81c994d8c933f427d8189587ea63d9837ba2bb470daf72e23a35e4988d"
